Timestamp,Gsr
1739356973.451,4.845853
1739356973.701,4.84329
1739356973.951,4.845853
1739356974.201,4.839447
1739356974.451,4.834321
1739356974.701,4.83304
1739356974.951,4.830478
1739356975.201,4.827915
1739356975.451,4.831759
1739356975.701,4.820228
1739356975.951,4.82279
1739356976.201,4.839447
1739356976.451,4.83304
1739356976.701,4.826634
1739356976.951,4.827915
1739356977.201,4.821509
1739356977.451,4.824071
1739356977.701,4.827915
1739356977.951,4.825353
1739356978.201,4.826634
1739356978.451,4.818946
1739356978.701,4.818946
1739356978.951,4.820228
1739356979.201,4.813821
1739356979.451,4.804852
1739356979.701,4.80229
1739356979.951,4.798446
1739356980.201,4.797165
1739356980.451,4.801009
1739356980.701,4.804852
1739356980.951,4.808696
1739356981.201,4.809978
1739356981.451,4.820228
1739356981.701,4.81254
1739356981.951,4.81254
1739356982.201,4.809978
1739356982.451,4.81254
1739356982.701,4.804852
1739356982.951,4.798446
1739356983.201,4.807415
1739356983.451,4.795884
1739356983.701,4.79204
1739356983.951,4.794602
1739356984.201,4.79204
1739356984.451,4.788197
1739356984.701,4.784353
1739356984.951,4.780509
1739356985.201,4.785634
1739356985.451,4.784353
1739356985.701,4.78179
1739356985.951,4.772821
1739356986.201,4.77154
1739356986.451,4.772821
1739356986.701,4.762571
1739356986.951,4.760009
1739356987.201,4.766415
1739356987.451,4.762571
1739356987.701,4.758728
1739356987.951,4.762571
1739356988.201,4.766415
1739356988.451,4.757446
1739356988.701,4.754884
1739356988.951,4.757446
1739356989.201,4.753603
1739356989.451,4.749759
1739356989.701,4.747196
1739356989.951,4.739509
1739356990.201,4.734384
1739356990.451,4.735665
1739356990.701,4.729259
1739356990.951,4.726696
1739356991.201,4.738227
1739356991.451,4.734384
1739356991.701,4.73054
1739356991.951,4.733102
1739356992.201,4.729259
1739356992.451,4.725415
1739356992.701,4.725415
1739356992.951,4.725415
1739356993.201,4.719008
1739356993.451,4.72029
1739356993.701,4.711321
1739356993.951,4.71004
1739356994.201,4.707478
1739356994.451,4.708758
1739356994.701,4.704915
1739356994.951,4.702353
1739356995.201,4.707478
1739356995.451,4.701071
1739356995.701,4.708758
1739356995.951,4.706196
1739356996.201,4.71004
1739356996.451,4.702353
1739356996.701,4.701071
1739356996.951,4.701071
1739356997.201,4.695946
1739356997.451,4.686977
1739356997.701,4.686977
1739356997.951,4.685696
1739356998.201,4.67929
1739356998.451,4.680571
1739356998.701,4.672884
1739356998.951,4.681852
1739356999.201,4.676727
1739356999.451,4.676727
1739356999.701,4.676727
1739356999.951,4.684415
1739357000.201,4.676727
1739357000.451,4.676727
1739357000.701,4.675446
1739357000.951,4.675446
1739357001.201,4.667758
1739357001.451,4.663915
1739357001.701,4.661352
1739357001.951,4.653665
1739357002.201,4.656227
1739357002.451,4.660071
1739357002.701,4.653665
1739357002.951,4.653665
1739357003.201,4.656227
1739357003.451,4.654946
1739357003.701,4.654946
1739357003.951,4.651102
1739357004.201,4.645977
1739357004.451,4.645977
1739357004.701,4.639571
1739357004.951,4.638289
1739357005.201,4.637008
1739357005.451,4.635727
1739357005.701,4.631883
1739357005.951,4.631883
1739357006.201,4.631883
1739357006.451,4.633164
1739357006.701,4.631883
1739357006.951,4.633164
1739357007.201,4.635727
1739357007.451,4.631883
1739357007.701,4.631883
1739357007.951,4.626759
1739357008.201,4.625477
1739357008.451,4.624196
1739357008.701,4.613946
1739357008.951,4.610102
1739357009.201,4.60754
1739357009.451,4.612665
1739357009.701,4.606258
1739357009.951,4.603696
1739357010.201,4.602415
1739357010.451,4.610102
1739357010.701,4.610102
1739357010.951,4.60754
1739357011.201,4.608821
1739357011.451,4.603696
1739357011.701,4.602415
1739357011.951,4.601133
1739357012.201,4.596008
1739357012.451,4.590883
1739357012.701,4.585758
1739357012.951,4.580633
1739357013.201,4.589602
1739357013.451,4.589602
1739357013.701,4.584477
1739357013.951,4.590883
1739357014.201,4.588321
1739357014.451,4.584477
1739357014.701,4.581914
1739357014.951,4.581914
1739357015.201,4.578071
1739357015.451,4.576789
1739357015.701,4.571664
1739357015.951,4.570383
1739357016.201,4.572946
1739357016.451,4.567821
1739357016.701,4.567821
1739357016.951,4.576789
1739357017.201,4.587039
1739357017.451,4.590883
1739357017.701,4.590883
1739357017.951,4.585758
1739357018.201,4.578071
1739357018.451,4.558852
1739357018.701,4.551164
1739357018.951,4.537071
1739357019.201,4.529383
1739357019.451,4.521696
1739357019.701,4.521696
1739357019.951,4.521696
1739357020.201,4.517852
1739357020.451,4.520414
1739357020.701,4.514008
1739357020.951,4.522977
1739357021.201,4.519133
1739357021.451,4.510164
1739357021.701,4.512727
1739357021.951,4.511446
1739357022.201,4.512727
1739357022.451,4.502477
1739357022.701,4.50632
1739357022.951,4.502477
1739357023.201,4.498633
1739357023.451,4.499914
1739357023.701,4.489664
1739357023.951,4.497352
1739357024.201,4.493508
1739357024.451,4.499914
1739357024.701,4.490945
1739357024.951,4.497352
1739357025.201,4.489664
1739357025.451,4.488383
1739357025.701,4.487102
1739357025.951,4.483258
1739357026.201,4.479414
1739357026.451,4.47557
1739357026.701,4.47557
1739357026.951,4.47557
1739357027.201,4.469164
1739357027.451,4.467883
1739357027.701,4.474289
1739357027.951,4.473008
1739357028.201,4.473008
1739357028.451,4.471726
1739357028.701,4.474289
