LocalTimestamp,DataReliability,PacketNumber,PG
1758101942.985923,100,59397,5428
1758101943.025923,100,59414,5432
1758101943.0659232,100,59414,5430
1758101943.1059232,100,59414,5443
1758101943.1459231,100,59431,5426
1758101943.185923,100,59431,5429
1758101943.225923,100,59448,5434
1758101943.265923,100,59448,5431
1758101943.3059232,100,59448,5409
1758101943.3459232,100,59462,5401
1758101943.3859231,100,59462,5391
1758101943.425923,100,59462,5399
1758101943.465923,100,59480,5397
1758101943.505923,100,59480,5389
1758101943.5459232,100,59496,5396
1758101943.5859232,100,59496,5384
1758101943.6259232,100,59496,5385
1758101943.665923,100,59513,5365
1758101943.705923,100,59513,5370
1758101943.745923,100,59528,5375
1758101943.785923,100,59528,5382
1758101943.8259232,100,59528,5374
1758101943.8659232,100,59549,5365
1758101943.9059231,100,59549,5376
1758101943.945923,100,59565,5363
1758101943.985923,100,59565,5356
1758101944.025923,100,59565,5344
1758101944.0659232,100,59582,5345
1758101944.1059232,100,59582,5327
1758101944.1459231,100,59597,5326
1758101944.185923,100,59597,5329
1758101944.225923,100,59597,5321
1758101944.265923,100,59614,5329
1758101944.3059232,100,59614,5329
1758101944.3459232,100,59630,5325
1758101944.3859231,100,59630,5324
1758101944.425923,100,59630,5319
1758101944.465923,100,59648,5341
1758101944.505923,100,59648,5337
1758101944.5459232,100,59663,5348
1758101944.5859232,100,59663,5341
1758101944.6259232,100,59663,5328
1758101944.665923,100,59679,5306
1758101944.705923,100,59679,5303
1758101944.745923,100,59696,5302
1758101944.785923,100,59696,5302
1758101944.8259232,100,59696,5311
1758101944.8659232,100,59713,5311
1758101944.9059231,100,59713,5302
1758101944.945923,100,59729,5296
1758101944.985923,100,59729,5302
1758101945.025923,100,59729,5306
1758101945.0659232,100,59745,5313
1758101945.1059232,100,59745,5319
1758101945.1459231,100,59761,5319
1758101945.185923,100,59761,5318
1758101945.225923,100,59761,5312
1758101945.265923,100,59778,5298
1758101945.3059232,100,59778,5287
1758101945.3459232,100,59794,5285
1758101945.3859231,100,59794,5276
1758101945.425923,100,59794,5283
1758101945.465923,100,59810,5268
1758101945.505923,100,59810,5273
1758101945.5459232,100,59826,5280
1758101945.5859232,100,59826,5268
1758101945.6259232,100,59826,5283
1758101945.665923,100,59843,5284
1758101945.705923,100,59843,5279
1758101945.745923,100,59860,5290
1758101945.785923,100,59860,5282
1758101945.8259232,100,59860,5292
1758101945.8659232,100,59880,5292
1758101945.9059231,100,59880,5279
1758101945.945923,100,59880,5268
1758101945.985923,100,59880,5276
1758101946.025923,100,59896,5262
1758101946.0659232,100,59896,5254
1758101946.1059232,100,59914,5253
1758101946.1459231,100,59914,5252
1758101946.185923,100,59914,5261
1758101946.225923,100,59930,5239
1758101946.265923,100,59930,5243
1758101946.3059232,100,59947,5237
1758101946.3459232,100,59947,5255
1758101946.3859231,100,59947,5245
1758101946.425923,100,59963,5259
1758101946.465923,100,59963,5249
1758101946.505923,100,59979,5251
1758101946.5459232,100,59979,5270
1758101946.5859232,100,59979,5245
1758101946.6259232,100,59995,5240
1758101946.665923,100,59995,5232
1758101946.705923,100,60013,5224
1758101946.745923,100,60013,5220
1758101946.785923,100,60013,5219
1758101946.8259232,100,60029,5215
1758101946.8659232,100,60029,5219
1758101946.9059231,100,60046,5211
1758101946.945923,100,60046,5221
1758101946.985923,100,60046,5230
1758101947.025923,100,60062,5218
1758101947.0659232,100,60062,5226
1758101947.1059232,100,60062,5228
1758101947.1459231,100,60080,5254
1758101947.185923,100,60080,5249
1758101947.225923,100,60096,5254
1758101947.265923,100,60096,5236
1758101947.3059232,100,60096,5226
1758101947.3459232,100,60111,5210
1758101947.3859231,100,60111,5196
1758101947.425923,100,60128,5205
1758101947.465923,100,60128,5211
1758101947.505923,100,60128,5219
1758101947.5459232,100,60145,5208
1758101947.5859232,100,60145,5215
1758101947.6259232,100,60161,5222
